Q21,1449371.0,->  Hash Semi Join  (cost=2654483.24..4804018.61 rows=1 width=38) (actual time=46477.148..97398.733 rows=1449371 loops=1)
Q21,699900.0,->  Nested Loop  (cost=2654483.24..4804020.57 rows=1 width=34) (actual time=46477.212..114409.309 rows=699900 loops=1)
Q18,358480.6,->  GroupAggregate  (cost=10353937.73..11182028.13 rows=30112378 width=39) (actual time=116587.751..116588.003 rows=84 loops=1)
Q3,318153.1,->  Sort  (cost=2748786.16..2756739.99 rows=3181531 width=20) (actual time=75156.502..75156.504 rows=10 loops=1)
Q18,89642.4,->  Hash Join  (cost=2185370.16..2970043.31 rows=7529968 width=39) (actual time=74896.330..85293.066 rows=84 loops=1)
Q18,89642.4,->  Hash Join  (cost=2116342.16..2750415.95 rows=7529968 width=20) (actual time=72733.726..83129.097 rows=84 loops=1)
Q18,89642.4,->  Hash  (cost=2970043.31..2970043.31 rows=7529968 width=39) (actual time=85293.418..85293.418 rows=84 loops=1)
Q18,51211.5,->  Sort  (cost=10353937.73..10429218.68 rows=30112378 width=39) (actual time=116587.725..116587.759 rows=588 loops=1)
Q18,51211.5,->  Hash Join  (cost=3064167.91..5790014.72 rows=30112378 width=39) (actual time=85619.421..116584.855 rows=588 loops=1)
Q18,48743.1,->  Hash  (cost=2065161.87..2065161.87 rows=4094423 width=4) (actual time=72544.164..72544.164 rows=84 loops=1)
Q18,48743.1,->  HashAggregate  (cost=1973037.36..2024217.64 rows=4094423 width=8) (actual time=63961.559..72543.564 rows=84 loops=1)
Q21,39230.0,->  Nested Loop Anti Join  (cost=2654483.24..4804035.46 rows=1 width=26) (actual time=46481.591..131786.416 rows=39230 loops=1)
Q10,28428.7,->  Sort  (cost=1191186.73..1192608.17 rows=568575 width=175) (actual time=29180.338..29180.344 rows=20 loops=1)
Q9,23274.9,->  Sort  (cost=3517864.02..3517864.37 rows=140 width=46) (actual time=233600.489..234632.552 rows=3258499 loops=1)
Q9,23274.9,->  Nested Loop  (cost=2848033.70..3517859.03 rows=140 width=46) (actual time=113865.083..211393.522 rows=3258499 loops=1)
Q9,23274.9,->  Nested Loop  (cost=2848033.70..3517819.10 rows=140 width=24) (actual time=113865.021..196532.856 rows=3258499 loops=1)
Q9,23274.9,->  Nested Loop  (cost=2848033.70..3517542.21 rows=140 width=24) (actual time=113864.933..143315.841 rows=3258499 loops=1)
Q9,23274.9,->  Merge Join  (cost=2848033.70..3517501.44 rows=140 width=28) (actual time=113864.863..125905.693 rows=3258499 loops=1)
Q7,14651.0,GroupAggregate  (cost=2363371.75..2365276.38 rows=58604 width=64) (actual time=80255.129..80281.527 rows=4 loops=1)
Q2,4681.0,->  Merge Join  (cost=395240.92..822943.00 rows=1 width=190) (actual time=6978.669..10349.487 rows=4681 loops=1)
Q21,3960.0,->  HashAggregate  (cost=4804035.47..4804035.48 rows=1 width=26) (actual time=131922.986..131925.401 rows=3960 loops=1)
Q15,3803.0,->  Subquery Scan on revenue1  (cost=1197058.00..1197143.57 rows=3803 width=12) (actual time=33257.018..33285.605 rows=1 loops=1)
Q15,3803.0,->  Sort  (cost=1197369.71..1197379.22 rows=3803 width=12) (actual time=33285.639..33285.640 rows=1 loops=1)
Q15,3803.0,Merge Join  (cost=2377294.13..2382392.64 rows=3803 width=79) (actual time=33322.207..33322.210 rows=1 loops=1)
Q15,3803.0,->  HashAggregate  (cost=1197058.00..1197105.54 rows=3803 width=12) (actual time=33257.016..33285.600 rows=1 loops=1)
Q8,364.5,Sort  (cost=2160990.43..2160992.26 rows=729 width=38) (actual time=28444.372..28444.373 rows=2 loops=1)
Q8,364.5,->  HashAggregate  (cost=2160943.01..2160955.77 rows=729 width=38) (actual time=28444.280..28444.282 rows=2 loops=1)
Q21,100.0,->  Sort  (cost=4804035.49..4804035.49 rows=1 width=26) (actual time=131929.764..131929.770 rows=100 loops=1)
Q21,100.0,Limit  (cost=4804035.49..4804035.49 rows=1 width=26) (actual time=131929.767..131929.786 rows=100 loops=1)
Q2,100.0,->  Sort  (cost=822943.01..822943.02 rows=1 width=190) (actual time=10358.136..10358.169 rows=100 loops=1)
Q2,100.0,Limit  (cost=822943.01..822943.02 rows=1 width=190) (actual time=10358.140..10358.187 rows=100 loops=1)
Q11,38.0,Sort  (cost=135913.51..136712.11 rows=319441 width=12) (actual time=5415.300..5416.323 rows=8406 loops=1)
Q11,38.0,->  HashAggregate  (cost=52954.85..56947.86 rows=319441 width=12) (actual time=5261.514..5409.611 rows=8406 loops=1)
Q3,28.0,->  HashAggregate  (cost=2648219.11..2680034.42 rows=3181531 width=20) (actual time=75056.127..75135.056 rows=113328 loops=1)
Q15,26.2,->  HashAggregate  (cost=1179838.85..1179876.88 rows=3803 width=12) (actual time=14940.463..15009.746 rows=100000 loops=1)
Q3,10.6,->  Hash Join  (cost=627321.29..2600496.15 rows=3181531 width=20) (actual time=26976.583..74600.755 rows=299218 loops=1)
Q4,10.0,->  Hash  (cost=1002305.18..1002305.18 rows=1364808 width=4) (actual time=80438.100..80438.100 rows=13753466 loops=1)
Q4,10.0,->  HashAggregate  (cost=988657.10..1002305.18 rows=1364808 width=4) (actual time=67422.797..76723.869 rows=13753466 loops=1)
Q16,5.6,->  Index Scan using supplier_s_suppkey_idx_like on supplier  (cost=0.00..8.45 rows=10 width=4) (actual time=0.085..0.864 rows=56 loops=1)
Q5,5.0,Sort  (cost=2431346.88..2431346.94 rows=25 width=34) (actual time=71999.099..71999.099 rows=5 loops=1)
Q5,5.0,->  HashAggregate  (cost=2431346.05..2431346.30 rows=25 width=34) (actual time=71998.979..71998.982 rows=5 loops=1)
Q4,5.0,Sort  (cost=1303561.44..1303561.45 rows=1 width=16) (actual time=92001.162..92001.163 rows=5 loops=1)
Q4,5.0,->  HashAggregate  (cost=1303561.42..1303561.43 rows=1 width=16) (actual time=92000.992..92000.993 rows=5 loops=1)
Q21,5.0,->  Index Scan using lineitem_l_orderkey_idx on lineitem l3  (cost=0.00..7.42 rows=5 width=8) (actual time=0.024..0.024 rows=1 loops=699900)
Q13,4.5,Sort  (cost=928133.01..928133.51 rows=200 width=8) (actual time=66110.391..66110.393 rows=44 loops=1)
Q13,4.5,->  HashAggregate  (cost=928123.36..928125.36 rows=200 width=8) (actual time=66110.285..66110.297 rows=44 loops=1)
Q17,3.7,->  Nested Loop  (cost=140.78..405048.69 rows=20306 width=4) (actual time=1.344..975.302 rows=5400 loops=1)
Q4,3.3,->  Hash Join  (cost=1031830.07..1302788.93 rows=154499 width=16) (actual time=81053.696..91778.683 rows=515065 loops=1)
Q17,3.3,->  Index Scan using lineitem_l_partkey_l_quantity_l_shipmode_idx on lineitem  (cost=140.78..196.77 rows=10 width=12) (actual time=0.014..0.017 rows=3 loops=1970)
Q20,3.0,->  Index Scan using pk_partsupp on partsupp  (cost=0.00..575.31 rows=1 width=8) (actual time=0.404..0.516 rows=3 loops=21738)
Q22,2.3,Sort  (cost=698255.98..698255.98 rows=3 width=20) (actual time=13244.249..13244.249 rows=7 loops=1)
Q22,2.3,->  HashAggregate  (cost=645364.91..645364.95 rows=3 width=20) (actual time=13244.180..13244.183 rows=7 loops=1)
Q2,2.0,->  Nested Loop  (cost=0.00..49.84 rows=1 width=4) (actual time=0.058..0.086 rows=2 loops=6305)
Q20,2.0,->  Nested Loop  (cost=0.00..12734689.26 rows=29235 width=4) (actual time=0.923..12423.803 rows=58989 loops=1)
Q16,2.0,->  Sort  (cost=446544.77..448023.36 rows=591434 width=40) (actual time=44919.329..45204.469 rows=1188267 loops=1)
Q16,2.0,->  Hash Join  (cost=57972.08..389844.42 rows=591434 width=40) (actual time=1358.378..13354.315 rows=1188267 loops=1)
Q12,2.0,Sort  (cost=986914.62..986914.63 rows=1 width=27) (actual time=39340.355..39340.356 rows=2 loops=1)
Q12,2.0,->  HashAggregate  (cost=986914.60..986914.61 rows=1 width=27) (actual time=39340.213..39340.214 rows=2 loops=1)
Q10,2.0,->  Merge Join  (cost=331892.14..1067938.06 rows=568575 width=12) (actual time=2155.399..21688.417 rows=1138041 loops=1)
Q10,2.0,->  Hash Join  (cost=400921.71..1156157.03 rows=568575 width=175) (actual time=3757.812..25891.810 rows=1138041 loops=1)
Q10,2.0,->  Hash Join  (cost=400920.14..1148337.56 rows=568575 width=153) (actual time=3757.773..25319.164 rows=1138041 loops=1)
Q16,1.9,->  Seq Scan on partsupp  (cost=8.48..270966.48 rows=4000000 width=8) (actual time=0.927..5207.883 rows=7995520 loops=1)
Q4,1.8,->  Index Scan using lineitem_l_orderkey_idx_part1 on lineitem  (cost=0.00..937955.53 rows=20280629 width=4) (actual time=0.240..30407.724 rows=37928218 loops=1)
Q21,1.8,->  Seq Scan on lineitem l1  (cost=0.00..1817038.70 rows=20015032 width=8) (actual time=0.014..24359.368 rows=37928797 loops=1)
Q21,1.8,->  Hash Join  (cost=2441.58..1902532.27 rows=799562 width=34) (actual time=53.066..35237.646 rows=1503054 loops=1)
Q20,1.5,Sort  (cost=12740177.87..12740180.80 rows=1169 width=51) (actual time=12896.004..12896.221 rows=1826 loops=1)
Q20,1.5,->  Nested Loop  (cost=12735712.48..12740118.31 rows=1169 width=51) (actual time=12573.334..12861.520 rows=1826 loops=1)
Q20,1.5,->  Hash Semi Join  (cost=12735712.48..12739751.56 rows=29235 width=55) (actual time=12573.160..12853.847 rows=44695 loops=1)
Q20,1.5,->  Hash  (cost=12735347.04..12735347.04 rows=29235 width=4) (actual time=12573.087..12573.087 rows=44695 loops=1)
Q20,1.5,->  HashAggregate  (cost=12734762.34..12735054.69 rows=29235 width=4) (actual time=12529.668..12555.861 rows=44695 loops=1)
Q1,1.5,Sort  (cost=4249903.12..4249903.14 rows=6 width=20) (actual time=111573.258..111573.258 rows=4 loops=1)
Q1,1.5,->  HashAggregate  (cost=4249902.94..4249903.04 rows=6 width=20) (actual time=111573.159..111573.163 rows=4 loops=1)
Q10,1.5,->  HashAggregate  (cost=1170371.40..1176057.15 rows=568575 width=175) (actual time=28623.375..29004.256 rows=379038 loops=1)
Q15,1.4,->  Index Scan using pk_supplier on supplier  (cost=0.00..4791.46 rows=100000 width=71) (actual time=0.078..29.231 rows=69999 loops=1)
Q22,1.3,->  Bitmap Index Scan on customer_c_phone_idx  (cost=0.00..2872.25 rows=139832 width=0) (actual time=1018.754..1018.754 rows=190765 loops=1)
Q22,1.3,->  Bitmap Heap Scan on customer  (cost=2907.20..41855.79 rows=139832 width=24) (actual time=1028.883..1228.573 rows=190765 loops=1)
